deal_id,legacy_id,date,target,deal_status,closing_date,categories,region,country,classification,confidence,recommended_treatment,direct_company_ids,direct_company_names,target_company_ids,target_company_names,platform_company_ids,platform_company_names,source_candidate_company_ids,source_candidate_company_names,all_supported_company_ids,all_supported_company_names,supporting_source_urls,ambiguity_reasons,classification_reason,snapshot_sha256
cmnva46gj05fbm8lz0ixq5qcr,INF-2026-032,2026-01-05T13:00:00.000Z,Balfour Beatty Infrastructure Assets,ANNOUNCED,,ACQUISITION_BUYOUT,EUROPE,United Kingdom,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",68828da4b9aa069e12f7a1c6252cfbc7316d5c11f2463339f838fab34257d781
cmnva494j05gam8lzu5ueqs0l,INF-2026-067,2026-01-05T14:00:00.000Z,G.Network,ANNOUNCED,,SALE_MINORITY_STAKE,EUROPE,United Kingdom,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",0cacb83e94014fcdfe7b1761e457c4a576208838ed52bcd5bf158b62e6b0da4e
cmnva44zq05esm8lz8elpwcvh,INF-2026-013,2026-01-06T13:00:00.000Z,Cordelio Power,CLOSED,2026-04-02T12:00:00.000Z,ACQUISITION_BUYOUT,NORTH_AMERICA,Canada,DIRECT_DEAL_COMPANY_CITATION,HIGH,VERIFY_LINKED_COMPANY_CARD,cmnva0yp200xvm8lzue3btvd8,Cordelio Power,cmnva0yp200xvm8lzue3btvd8,Cordelio Power,cmoqbyqsa00ef171fswry13u5; cmnva0stf00nzm8lz2pthnja0,Pattern Energy Group; Pattern Energy Group LP,cmnva0yp200xvm8lzue3btvd8; cmoqbyqsa00ef171fswry13u5; cmnva0stf00nzm8lz2pthnja0,Cordelio Power; Pattern Energy Group; Pattern Energy Group LP,cmnva0yp200xvm8lzue3btvd8; cmoqbyqsa00ef171fswry13u5; cmnva0stf00nzm8lz2pthnja0,Cordelio Power; Pattern Energy Group; Pattern Energy Group LP,https://patternenergy.com/pattern-energy-announces-completion-of-acquisition-of-cordelio-power/; https://www.mccarthy.ca/en/experience/cordelio-power-enters-into-definitive-agreement-in-connection-with-its-sale-to-pattern-energy-group,,At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.,362388c6747005f8d18339e3467dc841a98d6406ef80f4fd86f1dfd7e451c696
cmnva475e05fkm8lz9ug5ngij,INF-2026-041,2026-01-06T13:00:00.000Z,Alliance Technical Group,CLOSED,,ACQUISITION_BUYOUT,NORTH_AMERICA,United States,DIRECT_DEAL_COMPANY_CITATION,HIGH,VERIFY_LINKED_COMPANY_CARD,cmnva0x0m00uwm8lzcv0jn3gr,Alliance Technical Group,cmnva0x0m00uwm8lzcv0jn3gr,Alliance Technical Group,,,cmnva0x0m00uwm8lzcv0jn3gr,Alliance Technical Group,cmnva0x0m00uwm8lzcv0jn3gr,Alliance Technical Group,https://www.blackstone.com/news/press/blackstone-energy-transition-partners-announces-acquisition-of-alliance-technical-group/,,At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.,3ae399ee378feb646c72f71b4f84e3b7ab861f3ad5fd54f11df76d61e5eda5ad
cmnva481y05fwm8lzoylo9jkb,INF-2026-053,2026-01-07T13:00:00.000Z,Ramudden Global,ANNOUNCED,,ACQUISITION_BUYOUT,EUROPE,Sweden,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",36f47bb82561be157b600e6d2c0a3da600f40680a3d10924b844c1db534e8fdf
cmnva497i05gbm8lzju0dk35l,INF-2026-068,2026-01-07T14:00:00.000Z,Global Technical Realty (GTR),ANNOUNCED,,ACQUISITION_MINORITY_STAKE,ASIA_PACIFIC,Singapore,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",87b36fa89fab6e550c5ad871a66a1f4703f418f5d7aec29fb257ac320e42ed79
cmnva442z05egm8lz6wd0dpdc,INF-2026-001,2026-01-08T13:00:00.000Z,12 MW Solar Operating Portfolio,ANNOUNCED,,ACQUISITION_BUYOUT,NORTH_AMERICA,United States,PLATFORM_BOLT_ON_MILESTONE,HIGH,VERIFY_PLATFORM_MILESTONE,,,,,cmnva0lko00cgm8lzvfuf5g7l,Altus Power,cmnva0lko00cgm8lzvfuf5g7l,Altus Power,cmnva0lko00cgm8lzvfuf5g7l,Altus Power,https://www.businesswire.com/news/home/20260108020262/en/Altus-Power-Acquires-12-MW-of-Commercial-Scale-Solar-Assets-Across-Four-States,,"An existing company is explicitly named as the operating, acquiring, or selling platform while the transaction target is different.",2da16ca2a0023e15b2f88f26281e14e9e8a89646f1be3ddb992ef7360473eb66
cmnva47ol05frm8lz0euiarxg,INF-2026-048,2026-01-08T13:00:00.000Z,Corelink Rail Infrastructure,ANNOUNCED,,SALE_BUYOUT,ASIA_PACIFIC,Australia,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",7e735a8a899e1b65c4ed0967b146fcef103e5c847cb055a1f110fe1fc09f34f1
cmnva47tr05ftm8lzduq9ww8w,INF-2026-050,2026-01-08T14:00:00.000Z,iPark,ANNOUNCED,,ACQUISITION_BUYOUT,EUROPE,United Kingdom,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",9ef767a4e0404f917b7ae7108acdd56c2ab2855191438aa462e47b378f84cf04
cmnva48ld05g3m8lzuswzp61q,INF-2026-060,2026-01-08T15:00:00.000Z,Emsere,ANNOUNCED,,ACQUISITION_MAJORITY_STAKE,EUROPE,Netherlands,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",852cc405235dc4ab01ac7db02d4215a47aafa228b9004420e0fc28a2e915ac0e
