auditId,sourceLine,company,country,investmentFirm,sector,status,ownerCount,milestoneCount,sourceCount,proposedTargetCount,priority,score,flags,malformedDates,exactDuplicates,nearDuplicates,lowValueMilestones,recategoryCandidates,missingEntryOwners,missingExitOwners,sourceCoverage,sourceUrls,reviewerDecision,reviewerNotes
amwaste-llc__united-states,5,Amwaste LLC,United States,3i Infrastructure,Social Infra,Active,1,5,4,current 2-5 target,none,0,,,,,,,,,,https://amwasteusa.com | https://www.3i.com/infrastructure/our-portfolio/amwaste/ | https://www.wastedive.com/news/amwaste-chip-russell-3i-north-american-infrastructure-investment/690067/ | https://www.wastetodaymagazine.com/news/amwaste-acquires-waste-away-environmental/,,
ec-waste__united-states,36,EC Waste,United States,3i Infrastructure,Social Infra,Active,1,5,4,current 2-5 target,none,0,,,,,,,,,,https://www.ecwaste.com | https://www.3i.com/media/news/2021/3i-partners-with-ec-waste-to-support-the-company-s-growth/ | https://www.3i.com/media/news/2025/3i-backed-ec-waste-acquires-arb-waste-services-in-puerto-rico/ | https://www.postcp.com/article?ID=528966,,
regional-rail-llc__united-states,67,"Regional Rail, LLC",United States,3i Infrastructure,Transportation,Active,1,5,5,current 2-5 target,none,0,,,,,,,,,,https://regional-rail.com/ | https://www.3i.com/infrastructure/our-portfolio/regional-rail/ | https://www.3i.com/media/news/2019/3i-agrees-to-invest-in-regional-rail-to-support-growth/ | https://www.3i.com/media/news/2019/regional-rail-expands-its-geographic-footprint-through-acquisition-of-pinsly-railroad-company-s-florida-operations/ | https://regional-rail.com/2026/01/16/regional-rail-expands-its-network-in-the-midwest-via-the-acquisition-of-several-short-line-freight-railroads/,,
smarte-carte-international-holdings-inc__united-states,99,"Smarte Carte International Holdings, Inc.",United States,3i Infrastructure,Transportation,Active,1,5,4,current 2-5 target,none,0,,,,,,,,,,https://smartecarte.com/about-us/our-story/ | https://www.3i.com/infrastructure/our-portfolio/smarte-carte/ | https://www.3i.com/media/news/2017/investment-in-smarte-carte/ | https://www.3i.com/media/news/2018/3i-backed-smarte-carte-acquires-aviation-mobility-and-closes-a-225-million-refinancing/,,
jvr-energy-park__united-states,130,JVR Energy Park,United States,Acadia Infrastructure Capital,Power & ET,Active,1,4,4,current 2-5 target,none,0,,,,,,,,,,https://us.baywa-re.com/en/projects/local-projects/jvr-energy-park | https://www.prnewswire.com/news-releases/baywa-re-secures-416m-funding-for-jvr-energy-park-expected-to-be-operational-in-fall-2026-302636735.html | https://us.baywa-re.com/en | https://www.sandiegocounty.gov/content/dam/sdc/pds/ceqa/JVR/PreBoard/Appendices/JVR%20FEIR%20Appendix%20B%20-%20Visual%20Resources%20Part%201%20of%202.pdf,,
peregrine-energy-storage-project__united-states,160,Peregrine Energy Storage Project,United States,Acadia Infrastructure Capital,Power & ET,Active,1,4,4,current 2-5 target,none,0,,,,,,,,,,https://www.peregrineenergystorage.com/ | https://arevonenergy.com/news/releases/arevon-announces-258-million-of-financial-commitments-for-its-peregrine-energy-storage-project/ | https://arevonenergy.com/news/releases/arevon-commences-operations-at-its-200-megawatt-peregrine-energy-storage-project-in-san-diego/ | https://www.prnewswire.com/news-releases/arevon-commences-operations-at-its-200-megawatt-peregrine-energy-storage-project-in-san-diego-302491017.html,,
project-soho__united-states,190,Project Soho,United States,Acadia Infrastructure Capital,Power & ET,Active,1,3,4,current 2-5 target,none,0,,,,,,,,,,https://gfinfra.com/ | https://www.businesswire.com/news/home/20251007100315/en/Greenflash-Infrastructure-Closes-Innovative-Debt-Financing-Preferred-Equity-and-Sale-of-Tax-Credits-for-400MW-800MWh-ERCOT-Battery-Storage-Project | https://corporates.db.com/more/latest-news/deutsche-bank-supports-greenflash-infrastructure-on-its-400mw-800mwh-battery-storage-project-in-brazoria-county-texas | https://www.energy-storage.news/greenflash-infrastructure-secures-financing-for-texass-largest-standalone-bess/,,
stillhouse-solar-project__united-states,219,Stillhouse Solar Project,United States,Acadia Infrastructure Capital,Power & ET,Active,1,4,4,current 2-5 target,none,0,,,,,,,,,,https://matrixrenewables.com/press-releases/matrix-renewables-announces-acquisition-of-stillhouse-solar-project-from-oci-solar-power/ | https://matrixrenewables.com/press-releases/matrix-renewables-secures-commitments-from-microsoft-and-mufg-led-lender-consortium-for-210mwac-solar-project-in-bell-county-texas/ | https://matrixrenewables.com/press-releases/matrix-renewables-and-solv-energy-celebrate-completion-of-stillhouse-solar-in-bell-county-texas/ | https://matrixrenewables.com/existing-projects/u-s/,,
catalyze__united-states,249,Catalyze,United States,Actis,Power & ET,Active,2,5,6,current 2-5 target,none,4,,,,,,,,,,https://catalyze.com/company/about-us/ | https://www.act.is/2023/02/28/actis-and-encap-invest-in-us-solar-platform-catalyze/ | https://catalyze.com/2024/05/15/catalyze-announces-transaction-to-support-community-distributed-generation-portfolio/ | https://catalyze.com/2026/01/26/catalyze-closes-100-mw-distributed-solar-tax-equity-financing-with-rbc/ | https://www.encapinvestments.com/about/energy-transition/portfolio/current/catalyze | https://www.encapinvestments.com/news/catalyze-acquires-permacity-advances-market-consolidation-strategy,,
terranova__mexico,283,TERRANOVA,Mexico,Actis,Digital,Active,1,4,4,current 2-5 target,none,0,,,,,,,,,,https://dcterranova.com/ | https://www.act.is/2025/12/02/actis-launches-new-latin-american-hyperscale-data-center-platform-terranova-to-accelerate-latin-americas-digital-expansion/ | https://www.datacenterdynamics.com/en/news/terranova-launches-in-mexico-with-its-first-data-center-campus/ | https://dcterranova.com/en/blog/terranova-do-fundo-actis-entra-no-setor-de-data-centers-de-hiperescala,,
