auditId,sourceLine,company,country,investmentFirm,sector,status,ownerCount,milestoneCount,sourceCount,proposedTargetCount,priority,score,flags,malformedDates,exactDuplicates,nearDuplicates,lowValueMilestones,recategoryCandidates,missingEntryOwners,missingExitOwners,sourceCoverage,sourceUrls,reviewerDecision,reviewerNotes
cruise-terminals-international__united-states,22880,Cruise Terminals International,United States,iCON Infrastructure,Transportation,Active,1,4,4,current 2-5 target,medium,40,excessive_other_milestones | no_transaction_or_milestone_source_purpose,,,,,,,,no_transaction_or_milestone_source_purpose,https://cruisetermint.com/ | https://cruisetermint.com/partners/ | https://iconinfrastructure.com/investments/ | https://www.prnewswire.com/news-releases/the-virgin-islands-port-authority-royal-caribbean-group-and-cruise-terminals-international-commemorate-crown-bay-district-redevelopment-signing-302646007.html,,
accel-international__united-states,7983,Accel International,United States,Blackstone,Power & ET,Active,1,1,4,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://accelinternational.com/ | https://accelinternational.com/about-us/ | https://accelinternational.com/products/ | https://www.blackstone.com/our-businesses/blackstone-energy-transition-partners/,,
advanced-recycling-technologies__united-states,16041,Advanced Recycling Technologies,United States,Ember Infrastructure,Power & ET,Active,1,1,3,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.advancedrecyclingtechnologies.com/ | https://www.advancedrecyclingtechnologies.com/waste-to-energy | https://www.prnewswire.com/news-releases/advanced-recycling-technologies-announces-growth-investment-from-ember-infrastructure-302315469.html,,
agecare-facilities-portfolio__canada,5504,AgeCare Facilities Portfolio,Canada,Axium Infrastructure,Social Infra,Active,1,1,4,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.axiuminfra.com/portfolio-assets/?lang=en | https://www.axiuminfra.com/2020/01/08/agecare-and-axium-infrastructure-form-a-partnership-to-share-ownership-of-five-continuing-care-facilities-in-alberta/?lang=en | https://www.agecare.ca/ | https://www.axiuminfra.com/wp-content/uploads/2020/01/Website-Release_Project-Aster_Axium_en_Final.pdf,,
arbor-renewable-gas__united-states,16304,Arbor Renewable Gas,United States,EnCap Investments,Power & ET,Active,1,1,4,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.arborgas.com/ | https://www.encapinvestments.com/about/energy-transition/portfolio/current/arbor-renewable-gas | https://www.encapinvestments.com/news/arbor-renewable-gas-llc-secures-capital-commitment-encap-investments-lp | https://www.encapinvestments.com/about/energy-transition/portfolio,,
arc__united-states,20732,ARC,United States,H.I.G. Capital,Utilities,Active,1,1,3,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://arcwastecompactors.com/ | https://hig.com/portfolio/arc/ | https://higinfrastructure.com/portfolio/arc/,,
autopista-arco-norte-s-a-de-c-v__mexico,29387,"Autopista Arco Norte, S.A. de C.V.",Mexico,OTPP,Transportation,Active,1,1,4,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.arconorte.com.mx/en/about-us/ | https://www.otpp.com/en-ca/about-us/news-and-insights/2016/impulsora-del-desarrollo-y-el-empleo-en-america-latina-s-a-b-de-c-v-cppib-and-ontario-teachers-pension-plan-create-strategic-partnership-to-invest-in/ | https://www.cppinvestments.com/newsroom/cppib-invests-mexican-infrastructure/ | https://www.proyectosmexico.gob.mx/?language=en&p=4809&post_type=proyecto_inversion&so=1,,
blue-hill-wind-facility__canada,23595,Blue Hill Wind Facility,Canada,InfraRed Capital Partners,Power & ET,Active,1,1,3,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.ircp.com/news/infrared-capital-partners-acquire-stakes-four-wind-assets-algonquin-power-utilities-corp-0/ | https://www.ircp.com/case-study/us-onshore-wind/ | https://www.saskpower.com/our-power-future/our-electricity/electrical-system/system-map/blue-hill-wind-facility,,
chicago-cbd-data-center-chil2__united-states,21445,Chicago CBD Data Center (CHIL2),United States,Harrison Street,Digital,Active,1,1,3,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.1547realty.com/data-center/chicago-il-chil2/ | https://harrisonst.com/exclusive-harrison-street-and-fifteenfortyseven-acquire-four-data-center-facilities-in-u-s/ | https://www.1547realty.com/,,
clearcurrent__united-states,7344,ClearCurrent,United States,Bernhard Capital Partners,Utilities,Active,1,1,3,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://clearcurrent.com/ | https://www.bernhardcapital.com/portfolio-items/clearcurrent/ | https://www.bernhardcapital.com/wp-content/uploads/2025/11/BCP_ESGReport_24_102025.pdf,,
common-energy__united-states,24857,Common Energy,United States,Kimmeridge,Power & ET,Active,1,1,5,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.commonenergy.us/ | https://www.commonenergy.us/locations | https://www.commonenergy.us/for-organizations | https://www.prnewswire.com/news-releases/kimmeridge-carbon-solutions-commits-15-million-to-us-light-energy--a-highly-regarded-developer-of-community-solar-solutions-301923528.html | https://kimmeridge.com/select-investments/,,
cpv-three-rivers-energy-center__united-states,5841,CPV Three Rivers Energy Center,United States,Axium Infrastructure,Power & ET,Active,1,1,4,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.axiuminfra.com/news/page/7/?lang=en | https://www.axiuminfra.com/wp-content/uploads/2020/08/Media-Release_Axium-Invests-in-Three-Rivers-Project.pdf | https://www.axiuminfra.com/portfolio-assets/?lang=en | https://cpv.com/portfolio/cpv-three-rivers/,,
earthwise-environmental-solutions__united-states,16094,Earthwise Environmental Solutions,United States,Ember Infrastructure,Social Infra,Active,1,1,3,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.earthwisees.com/ | https://ember-infra.com/portfolio | https://www.earthwisees.com/leadership,,
ecosave__united-states,30353,Ecosave,United States,Ridgewood,Power & ET,Active,1,1,3,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://ridgewoodinfrastructure.com/ecosave/ | https://ecosaveinc.com/ | https://ecosaveinc.com/about-us/,,
fighting-jays-solar__united-states,12845,Fighting Jays Solar,United States,Copenhagen Infrastructure Partners,Power & ET,Active,1,1,4,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.cip.com/media/wyanyzxq/cip_esg-report_2021_reduced-file-size.pdf | https://www.cip.com/media/ij0feeuk/cip-esg-report-2024-final-for-web-20250312.pdf | https://www.pensiondanmark.com/en/investments/strategy-for-private-markets/fighting-jays/ | https://renewablesnow.com/news/cip-finalises-acquisition-of-350-mw-solar-project-in-texas-707841/,,
first-student__united-states-canada,17009,First Student,United States / Canada,EQT Infrastructure,Transportation,Active,1,1,3,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://firststudentinc.com/ | https://eqtgroup.com/about/current-portfolio/first-student | https://firststudentinc.com/resources/newsroom/eqt-infrastructure-closes-acquisition-of-first-student-and-first-transit/,,
ground-water-treatment-technology-llc__united-states,16119,"Ground/Water Treatment & Technology, LLC",United States,Ember Infrastructure,Utilities,Active,1,1,4,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.gwttllc.com/ | https://www.gwttllc.com/about-gwtt/ | https://www.prnewswire.com/news-releases/groundwater-treatment--technology-llc-announces-majority-growth-investment-from-ember-infrastructure-301856032.html | https://www.gwttllc.com/services/,,
h2o-innovation-inc__united-states-canada,16145,H2O Innovation Inc.,United States / Canada,Ember Infrastructure,Utilities,Active,1,1,3,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.h2oinnovation.com/ | https://www.h2oinnovation.com/about-us/company/ | https://www.businesswire.com/news/home/20231208427843/en/Ember-Completes-Acquisition-of-H2O-Innovation,,
